entry_ts,exit_ts,label,exit_type,pnl_1x,entry_price,sl,tp,gap_atr_ratio,gap_dollars,gap_m1_atr_ratio,h1_atr,m1_atr,h1_vol_pct,hour_et,dow_et,m1_bars_since_sweep,m1_bars_since_choch
2025-11-13T14:37:00+00:00,2025-11-13T15:46:00+00:00,1,TP,267.0,25415.0,25526.25,25281.5,0.30537,44.5,0.983969,72.8625,22.6125,0.4917,9,3,37,37
2025-11-13T15:47:00+00:00,2025-11-13T16:45:00+00:00,1,TP,237.0,25277.5,25376.25,25159.0,0.273167,39.5,0.850835,72.3,23.2125,0.475,10,3,107,107
2025-11-13T17:11:00+00:00,2025-11-13T18:16:00+00:00,0,TIME,112.5,25197.0,25325.75,25042.5,0.27868,51.5,1.021825,92.4,25.2,0.675,12,3,191,191
2025-11-17T15:05:00+00:00,2025-11-17T16:07:00+00:00,0,TIME,286.0,25156.25,25286.25,25000.25,0.292999,52.0,0.908297,88.7375,28.625,0.6167,10,0,125,125
2025-11-26T14:39:00+00:00,2025-11-26T15:41:00+00:00,0,TIME,-25.5,25230.5,25321.75,25121.0,0.33402,36.5,0.944373,54.6375,19.325,0.0167,9,2,278,278
2025-12-15T15:54:00+00:00,2025-12-15T16:21:00+00:00,0,SL,-162.5,25416.5,25497.75,25319.0,0.319961,32.5,0.592525,50.7875,27.425,0.0083,10,0,54,54
2025-12-17T15:27:00+00:00,2025-12-17T15:40:00+00:00,1,TP,237.0,25306.0,25404.75,25187.5,0.286336,39.5,0.851752,68.975,23.1875,0.0667,10,2,27,27
2025-12-22T15:37:00+00:00,2025-12-22T16:17:00+00:00,0,SL,-100.0,25667.75,25717.75,25607.75,0.304646,20.0,0.660066,32.825,15.15,0.0083,10,0,37,22
2025-12-24T15:24:00+00:00,2025-12-24T16:34:00+00:00,0,SL,-77.5,25824.5,25863.25,25778.0,0.379902,15.5,1.004862,20.4,7.7125,0.0167,10,2,193,54
2025-12-29T14:17:00+00:00,2025-12-29T14:37:00+00:00,0,SL,-147.5,25681.5,25755.25,25593.0,0.423091,29.5,1.629834,34.8625,9.05,0.3833,9,0,192,17
2025-12-29T15:49:00+00:00,2025-12-29T20:43:00+00:00,0,TIME,-19.0,25737.0,25787.0,25677.0,0.260926,20.0,0.829016,38.325,12.0625,0.5,10,0,284,109
