pnl,win,bars_held,exit_type,timestamp,direction
15.7,1,34,tp,2025-11-27 17:00:00,bullish
-291.8,0,57,sl,2025-12-12 18:24:00,bullish
29.7,1,120,time,2025-12-12 20:50:00,bullish
43.2,1,37,tp,2025-12-15 00:58:00,bullish
35.7,1,11,tp,2025-12-15 01:55:00,bullish
33.2,1,2,tp,2025-12-15 09:23:00,bullish
-69.3,0,80,sl,2025-12-15 12:23:00,bearish
-34.3,0,21,sl,2025-12-15 14:09:00,bearish
-86.8,0,9,sl,2025-12-15 18:18:00,bullish
-34.3,0,10,sl,2025-12-15 23:18:00,bullish
-54.3,0,15,sl,2025-12-16 00:46:00,bullish
29.95,1,120,time,2025-12-16 02:02:00,bullish
-41.8,0,4,sl,2025-12-16 07:33:00,bullish
50.7,1,16,tp,2025-12-16 08:31:00,bullish
-51.8,0,27,sl,2025-12-16 09:24:00,bullish
48.2,1,6,tp,2025-12-16 10:01:00,bullish
60.7,1,7,tp,2025-12-16 10:35:00,bullish
-34.3,0,11,sl,2025-12-16 10:44:00,bullish
-66.8,0,41,sl,2025-12-16 12:26:00,bullish
-114.3,0,1,sl,2025-12-16 14:31:00,bearish
258.2,1,20,tp,2025-12-16 15:05:00,bearish
-156.8,0,18,sl,2025-12-16 15:29:00,bearish
-186.8,0,20,sl,2025-12-16 16:40:00,bearish
200.7,1,46,tp,2025-12-16 17:12:00,bearish
-139.3,0,7,sl,2025-12-16 18:31:00,bearish
123.2,1,39,tp,2025-12-16 19:54:00,bullish
-59.3,0,3,sl,2025-12-16 23:04:00,bullish
-71.8,0,22,sl,2025-12-16 23:39:00,bullish
-56.3,0,120,time,2025-12-17 00:13:00,bearish
55.7,1,112,tp,2025-12-17 02:36:00,bearish
-219.3,0,11,sl,2025-12-17 15:26:00,bullish
-82.8,0,120,time,2025-12-17 16:39:00,bullish
-81.8,0,32,sl,2025-12-17 20:20:00,bullish
-81.8,0,70,sl,2025-12-18 08:35:00,bearish
-44.3,0,29,sl,2025-12-22 00:31:00,bearish
-21.8,0,4,sl,2025-12-22 07:54:00,bearish
40.7,1,34,tp,2025-12-22 08:17:00,bearish
25.7,1,65,tp,2025-12-22 09:44:00,bearish
-26.05,0,120,time,2025-12-22 18:07:00,bullish
-109.3,0,36,sl,2025-12-23 15:17:00,bearish
-39.05,0,120,time,2025-12-23 17:38:00,bearish
-12.05,0,120,time,2025-12-24 02:46:00,bearish
-46.8,0,40,sl,2025-12-24 14:31:00,bearish
40.7,1,96,tp,2025-12-24 16:40:00,bullish
-31.8,0,60,sl,2025-12-26 00:16:00,bullish
24.2,1,120,time,2025-12-26 01:49:00,bearish
-69.3,0,8,sl,2025-12-26 14:34:00,bearish
85.7,1,8,tp,2025-12-26 14:54:00,bearish
-19.05,0,120,time,2025-12-26 15:05:00,bearish
43.2,1,73,tp,2025-12-26 17:37:00,bullish
85.7,1,83,tp,2025-12-29 18:26:00,bullish
28.2,1,29,tp,2025-12-30 08:34:00,bullish
-31.8,0,82,sl,2025-12-30 09:13:00,bullish
28.2,1,32,tp,2025-12-30 12:41:00,bullish
-69.3,0,38,sl,2025-12-30 15:16:00,bearish
-89.3,0,24,sl,2025-12-30 16:27:00,bullish
20.7,1,120,time,2025-12-30 17:52:00,bearish
25.7,1,32,tp,2025-12-30 20:22:00,bearish
-79.3,0,51,sl,2025-12-30 23:04:00,bullish
8.2,1,120,time,2025-12-31 02:06:00,bullish
33.2,1,66,tp,2025-12-31 09:10:00,bullish
53.2,1,35,tp,2025-12-31 16:22:00,bullish
43.2,1,75,tp,2025-12-31 17:21:00,bullish
-124.3,0,51,sl,2025-12-31 18:44:00,bullish
