entry_time,exit_time,entry_price,stop_loss,target_price,exit_price,direction,pnl,exit_reason,killzone_window,bars_held,rr_target
2025-07-19T14:21:00+00:00,2025-07-19T14:28:00+00:00,118178.0,118134.0,118284.0,118053.0,bullish,-46.0,stop_loss,NY AM,7,2.41
2025-07-20T00:24:00+00:00,2025-07-20T00:25:00+00:00,117875.0,117855.0,117983.0,117843.0,bullish,-22.0,stop_loss,Asia,1,5.4
2025-07-21T00:43:00+00:00,2025-07-21T00:45:00+00:00,117067.0,117041.0,117297.0,116988.0,bullish,-28.0,stop_loss,Asia,2,8.85
2025-07-21T14:54:00+00:00,2025-07-21T15:08:00+00:00,118992.0,118820.0,119358.0,118875.0,bullish,-174.0,stop_loss,NY AM,14,2.13
2025-07-22T00:31:00+00:00,2025-07-22T00:32:00+00:00,117566.5,117537.5,117651.0,117530.0,bullish,-31.0,stop_loss,Asia,1,2.91
2025-07-22T14:32:00+00:00,2025-07-22T14:33:00+00:00,118541.0,118495.0,118680.0,118658.0,bullish,137.0,target,NY AM,1,3.02
2025-07-25T00:13:00+00:00,2025-07-25T00:21:00+00:00,118219.0,118127.0,118426.0,118114.0,bullish,-94.0,stop_loss,Asia,8,2.25
2025-07-25T08:33:00+00:00,2025-07-25T08:34:00+00:00,115654.0,115584.0,115933.0,115550.0,bullish,-72.0,stop_loss,London AM,1,3.99
2025-07-26T00:07:00+00:00,2025-07-26T00:09:00+00:00,117551.5,117520.5,117661.0,117475.0,bullish,-33.0,stop_loss,Asia,2,3.53
2025-07-26T14:29:00+00:00,2025-07-26T14:36:00+00:00,118155.0,118075.0,118344.0,118100.0,bullish,-82.0,stop_loss,NY AM,7,2.36
2025-07-27T00:05:00+00:00,2025-07-27T00:06:00+00:00,117970.0,117944.0,118036.0,117956.0,bullish,-28.0,stop_loss,Asia,1,2.54
2025-07-27T08:19:00+00:00,2025-07-27T08:24:00+00:00,118182.0,118154.0,118270.0,118147.0,bullish,-30.0,stop_loss,London AM,5,3.14
2025-07-28T08:26:00+00:00,2025-07-28T08:31:00+00:00,119130.5,119079.5,119550.0,119058.0,bullish,-53.0,stop_loss,London AM,5,8.23
2025-07-30T00:15:00+00:00,2025-07-30T00:16:00+00:00,117970.0,117960.0,118005.0,118018.0,bullish,33.0,target,Asia,1,3.5
2025-07-30T08:15:00+00:00,2025-07-30T08:16:00+00:00,118111.5,118010.5,118327.0,118029.0,bullish,-103.0,stop_loss,London AM,1,2.13
2025-07-30T14:11:00+00:00,2025-07-30T14:12:00+00:00,117750.0,117704.0,117862.0,117753.0,bullish,-48.0,stop_loss,NY AM,1,2.43
