entry_time,exit_time,direction,entry_price,exit_price,pnl,bars_held,split
2025-09-12 07:45:00+00:00,2025-09-12 20:15:00+00:00,long,115242.0,116132.73615127268,77.5048783197042,49,train
2025-09-12 20:15:00+00:00,2025-09-13 01:45:00+00:00,long,116316.0,115863.60969986809,-56.84801049818463,21,train
2025-09-13 01:45:00+00:00,2025-09-13 13:30:00+00:00,long,115943.0,115946.56636942246,-11.23784137622472,46,train
2025-09-13 13:30:00+00:00,2025-09-13 14:00:00+00:00,long,116043.0,115816.0324245359,-34.28970916763746,1,train
2025-09-13 14:00:00+00:00,2025-09-13 16:30:00+00:00,long,115862.0,115625.19415461076,-35.254944246654986,9,train
2025-09-13 16:30:00+00:00,2025-09-14 03:00:00+00:00,long,115663.0,115894.75257181973,11.597369553381863,41,train
2025-09-14 03:00:00+00:00,2025-09-14 11:30:00+00:00,long,115944.0,115948.88051170553,-11.106592855032195,33,train
2025-09-14 11:30:00+00:00,2025-09-14 13:15:00+00:00,long,115955.0,115669.32927594827,-40.14828886897022,6,train
2025-09-14 13:15:00+00:00,2025-09-14 13:30:00+00:00,long,115829.0,115550.96897990197,-39.372100458798215,0,train
2025-09-14 13:30:00+00:00,2025-09-14 23:00:00+00:00,long,115623.0,115796.01659412001,5.7307085822950246,37,train
2025-09-16 18:15:00+00:00,2025-09-17 03:30:00+00:00,long,116632.0,116594.96670554724,-15.36467778055354,36,train
2025-09-17 03:30:00+00:00,2025-09-17 09:00:00+00:00,long,116607.0,116810.39847354735,8.668977431057588,21,train
2025-09-17 09:00:00+00:00,2025-09-17 10:15:00+00:00,long,116950.0,116508.10389786182,-55.862515408711474,4,train
2025-09-17 10:15:00+00:00,2025-09-17 13:30:00+00:00,long,116567.0,116166.35239578443,-51.701428041346226,12,train
2025-09-17 23:45:00+00:00,2025-09-18 19:30:00+00:00,long,116467.0,117406.5506002045,82.26138249043981,78,train
2025-09-18 19:30:00+00:00,2025-09-18 22:45:00+00:00,long,117532.0,117215.02677751977,-43.43467358689882,12,train
2025-09-18 22:45:00+00:00,2025-09-19 04:00:00+00:00,long,117382.0,116962.373310809,-53.679887584640994,20,train
