contract,date,p_prior,p1530,p1559,move_usd,r_rod,r_lh,dir,gross,net3,net2,yr
MNQZ21,2021-12-02,15895.5,15991.0,15955.0,-72.0,0.006007989682614623,-0.0022512663373147612,1,-72.0,-75.0,-74.0,2021
MNQZ21,2021-12-03,15955.0,15606.5,15712.0,211.0,-0.021842682544656822,0.006760003844551887,-1,-211.0,-214.0,-213.0,2021
MNQZ21,2021-12-06,15712.0,15855.75,15839.75,-32.0,0.00914905804480659,-0.001009097645964352,1,-32.0,-35.0,-34.0,2021
MNQZ21,2021-12-07,15839.75,16265.25,16298.0,65.5,0.026862797708297137,0.002013495027743284,1,65.5,62.5,63.5,2021
MNQZ21,2021-12-08,16298.0,16367.75,16386.75,38.0,0.004279666216713718,0.001160819294038662,1,38.0,35.0,36.0,2021
MNQZ21,2021-12-09,16386.75,16169.75,16162.25,-15.0,-0.013242406212336189,-0.0004638290635291531,-1,15.0,12.0,13.0,2021
MNQZ21,2021-12-10,16162.25,16272.0,16323.75,103.5,0.006790514934492453,0.0031803097345133313,1,103.5,100.5,101.5,2021
MNQZ21,2021-12-13,16323.75,16152.25,16099.75,-105.0,-0.010506164331112622,-0.0032503211626863093,-1,105.0,102.0,103.0,2021
MNQZ21,2021-12-14,16099.75,15941.0,15908.25,-65.5,-0.009860401559030452,-0.0020544507872780615,-1,65.5,62.5,63.5,2021
MNQZ21,2021-12-15,15908.25,16209.25,16275.0,131.5,0.018921000110005748,0.004056325863318833,1,131.5,128.5,129.5,2021
MNQZ21,2021-12-16,16275.0,15889.75,15875.25,-29.0,-0.023671274961597488,-0.000912537956858972,-1,29.0,26.0,27.0,2021
MNQZ22,2022-09-19,11943.5,12010.0,12026.5,33.0,0.005567882111608746,0.0013738551207327365,1,33.0,30.0,31.0,2022
MNQZ22,2022-09-20,12026.5,11928.75,11914.0,-29.5,-0.00812788425560218,-0.0012365084355024925,-1,29.5,26.5,27.5,2022
MNQZ22,2022-09-21,11914.0,11852.25,11727.0,-250.5,-0.005182978009064976,-0.010567613744225768,-1,250.5,247.5,248.5,2022
MNQZ22,2022-09-22,11727.0,11625.25,11591.0,-68.5,-0.008676558369574483,-0.0029461732005763297,-1,68.5,65.5,66.5,2022
MNQZ22,2022-09-23,11591.0,11319.25,11359.25,80.0,-0.023444914157536023,0.003533803034653449,-1,-80.0,-83.0,-82.0,2022
MNQZ22,2022-09-26,11359.25,11378.5,11329.25,-98.5,0.0016946541364966095,-0.0043283385331985835,1,-98.5,-101.5,-100.5,2022
MNQZ22,2022-09-27,11329.25,11311.25,11329.0,35.5,-0.0015888077321976057,0.0015692341695214829,-1,-35.5,-38.5,-37.5,2022
MNQZ22,2022-09-28,11329.0,11562.25,11565.75,7.0,0.02058875452378861,0.0003027092477674298,1,7.0,4.0,5.0,2022
MNQZ22,2022-09-29,11565.75,11159.0,11232.0,146.0,-0.035168493180295246,0.006541804821220465,-1,-146.0,-149.0,-148.0,2022
MNQZ22,2022-09-30,11232.0,11128.5,11027.25,-202.5,-0.009214743589743613,-0.009098261221188841,-1,202.5,199.5,200.5,2022
MNQZ22,2022-10-03,11027.25,11344.25,11286.75,-115.0,0.0287469677390102,-0.005068647111973079,1,-115.0,-118.0,-117.0,2022
MNQZ22,2022-10-04,11286.75,11614.0,11629.5,31.0,0.02899417458524378,0.0013345961770276915,1,31.0,28.0,29.0,2022
MNQZ22,2022-10-05,11629.5,11670.5,11618.75,-103.5,0.0035255170041703643,-0.004434257315453549,1,-103.5,-106.5,-105.5,2022
MNQZ22,2022-10-06,11618.75,11583.25,11533.0,-100.5,-0.0030554061323292414,-0.004338160706192085,-1,100.5,97.5,98.5,2022
MNQZ22,2022-10-07,11533.0,11071.25,11105.0,67.5,-0.04003728431457554,0.0030484362651010954,-1,-67.5,-70.5,-69.5,2022
MNQZ22,2022-10-10,11105.0,11009.75,10986.75,-46.0,-0.008577217469608267,-0.0020890574263721096,-1,46.0,43.0,44.0,2022
MNQZ22,2022-10-11,10986.75,10813.75,10844.5,61.5,-0.015746239788836602,0.0028436018957345155,-1,-61.5,-64.5,-63.5,2022
MNQZ22,2022-10-12,10844.5,10861.75,10842.0,-39.5,0.0015906680805939377,-0.0018183073629940427,1,-39.5,-42.5,-41.5,2022
MNQZ22,2022-10-13,10842.0,11091.0,11095.25,8.5,0.022966242390702885,0.0003831935803804143,1,8.5,5.5,6.5,2022
MNQZ22,2022-10-14,11095.25,10788.25,10731.5,-113.5,-0.02766949820869291,-0.005260352698537751,-1,113.5,110.5,111.5,2022
MNQZ22,2022-10-17,10731.5,11120.5,11098.75,-43.5,0.03624842752644075,-0.0019558473090238726,1,-43.5,-46.5,-45.5,2022
MNQZ22,2022-10-18,11098.75,11152.25,11175.5,46.5,0.004820362653451982,0.0020847810979847115,1,46.5,43.5,44.5,2022
MNQZ22,2022-10-19,11175.5,11116.5,11148.75,64.5,-0.005279405843139018,0.002901092969909591,-1,-64.5,-67.5,-66.5,2022
MNQZ22,2022-10-20,11148.75,11082.25,11095.25,26.0,-0.005964794259446071,0.0011730469895554485,-1,-26.0,-29.0,-28.0,2022
MNQZ22,2022-10-21,11095.25,11362.25,11355.25,-14.0,0.024064351862283395,-0.0006160751611696824,1,-14.0,-17.0,-16.0,2022
MNQZ22,2022-10-24,11355.25,11501.75,11468.25,-67.0,0.012901521322736142,-0.002912600256482656,1,-67.0,-70.0,-69.0,2022
MNQZ22,2022-10-25,11468.25,11712.5,11704.25,-16.5,0.021297931244958823,-0.0007043756670224166,1,-16.5,-19.5,-18.5,2022
MNQZ22,2022-10-26,11704.25,11467.75,11440.25,-55.0,-0.02020633530555138,-0.0023980292559568905,-1,55.0,52.0,53.0,2022
MNQZ22,2022-10-27,11440.25,11268.75,11223.75,-90.0,-0.014990931142239039,-0.00399334442595678,-1,90.0,87.0,88.0,2022
MNQZ22,2022-10-28,11223.75,11584.25,11580.75,-7.0,0.03211938968704753,-0.0003021343634675988,1,-7.0,-10.0,-9.0,2022
MNQZ22,2022-10-31,11580.75,11453.0,11437.75,-30.5,-0.011031237182393183,-0.0013315288570679984,-1,30.5,27.5,28.5,2022
MNQZ22,2022-11-01,11437.75,11337.75,11334.5,-6.5,-0.00874297829555637,-0.0002866529955237729,-1,6.5,3.5,4.5,2022
MNQZ22,2022-11-02,11334.5,11020.25,10964.25,-112.0,-0.027725087123384395,-0.00508155441119762,-1,112.0,109.0,110.0,2022
MNQZ22,2022-11-03,10964.25,10795.0,10728.75,-132.5,-0.015436532366554956,-0.006137100509495119,-1,132.5,129.5,130.5,2022
MNQZ22,2022-11-04,10728.75,10836.25,10874.0,75.5,0.010019806594430802,0.003483677471449953,1,75.5,72.5,73.5,2022
MNQZ22,2022-11-07,10874.0,11024.75,11015.5,-18.5,0.013863343755747604,-0.000839021292999842,1,-18.5,-21.5,-20.5,2022
MNQZ22,2022-11-08,11015.5,11112.75,11090.5,-44.5,0.008828468975534465,-0.0020022046748104927,1,-44.5,-47.5,-46.5,2022
MNQZ22,2022-11-09,11090.5,10873.25,10838.25,-70.0,-0.01958883729317884,-0.0032189087899202606,-1,70.0,67.0,68.0,2022
MNQZ22,2022-11-10,10838.25,11577.25,11632.25,110.0,0.06818443936982455,0.004750696408905464,1,110.0,107.0,108.0,2022
MNQZ22,2022-11-11,11632.25,11836.25,11844.5,16.5,0.01753744976251359,0.0006970113000317468,1,16.5,13.5,14.5,2022
MNQZ22,2022-11-14,11844.5,11824.25,11743.5,-161.5,-0.001709654269914318,-0.006829185783453484,-1,161.5,158.5,159.5,2022
MNQZ22,2022-11-15,11743.5,11929.5,11893.75,-71.5,0.01583854898454473,-0.002996772706316264,1,-71.5,-74.5,-73.5,2022
MNQZ22,2022-11-16,11893.75,11726.75,11745.0,36.5,-0.014040987913820246,0.001556270919052638,-1,-36.5,-39.5,-38.5,2022
MNQZ22,2022-11-17,11745.0,11638.75,11701.25,125.0,-0.009046402724563696,0.005369992482010533,-1,-125.0,-128.0,-127.0,2022
MNQZ22,2022-11-18,11701.25,11708.75,11702.0,-13.5,0.0006409571626961874,-0.0005764919397885926,1,-13.5,-16.5,-15.5,2022
MNQZ22,2022-11-21,11702.0,11586.25,11587.25,2.0,-0.009891471543325925,8.630920271879283e-05,-1,-2.0,-5.0,-4.0,2022
MNQZ22,2022-11-22,11587.25,11727.75,11752.75,50.0,0.012125396448682713,0.002131696190659005,1,50.0,47.0,48.0,2022
MNQZ22,2022-11-23,11752.75,11871.5,11860.0,-23.0,0.010104018208504373,-0.0009687065661457828,1,-23.0,-26.0,-25.0,2022
MNQZ22,2022-11-28,11860.0,11581.25,11617.0,71.5,-0.023503372681281665,0.0030868861305990425,-1,-71.5,-74.5,-73.5,2022
MNQZ22,2022-11-29,11617.0,11514.25,11528.0,27.5,-0.008844796419041012,0.001194172438500063,-1,-27.5,-30.5,-29.5,2022
MNQZ22,2022-11-30,11528.0,11972.75,12024.75,104.0,0.038579979181124324,0.0043431960076005804,1,104.0,101.0,102.0,2022
MNQZ22,2022-12-01,12024.75,12061.75,12067.75,12.0,0.0030769870475477745,0.0004974402553525881,1,12.0,9.0,10.0,2022
MNQZ22,2022-12-02,12067.75,12012.0,12015.25,6.5,-0.00461975098920675,0.00027056277056281,-1,-6.5,-9.5,-8.5,2022
MNQZ22,2022-12-05,12015.25,11759.25,11804.25,90.0,-0.02130625663219654,0.003826774666751742,-1,-90.0,-93.0,-92.0,2022
MNQZ22,2022-12-06,11804.25,11510.75,11557.25,93.0,-0.02486392612830124,0.004039702017679225,-1,-93.0,-96.0,-95.0,2022
MNQZ22,2022-12-07,11557.25,11494.75,11511.0,32.5,-0.005407860866555647,0.0014136888579567852,-1,-32.5,-35.5,-34.5,2022
MNQZ22,2022-12-08,11511.0,11657.25,11646.75,-21.0,0.012705238467552782,-0.00090072701537669,1,-21.0,-24.0,-23.0,2022
MNQZ22,2022-12-09,11646.75,11643.0,11573.0,-140.0,-0.0003219782342713806,-0.006012196169372208,-1,140.0,137.0,138.0,2022
MNQZ22,2022-12-12,11573.0,11680.75,11707.0,52.5,0.009310464011060171,0.002247287203304582,1,52.5,49.5,50.5,2022
MNQZ22,2022-12-13,11707.0,11830.5,11839.5,18.0,0.010549244042026062,0.0007607455306199995,1,18.0,15.0,16.0,2022
MNQZ22,2022-12-14,11839.5,11718.25,11750.25,64.0,-0.010241141940115717,0.0027307831800822413,-1,-64.0,-67.0,-66.0,2022
MNQZ22,2022-12-15,11750.25,11382.75,11347.5,-70.5,-0.03127593029935538,-0.0030967911972062945,-1,70.5,67.5,68.5,2022
