entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,gap_size,bars_held
2024-01-26 20:35:00+00:00,2024-01-29 07:05:00+00:00,17540.375,17554.25,bullish,7.1875,gap_fill,575.0,6
2024-01-26 20:40:00+00:00,2024-01-29 07:00:00+00:00,17529.75,17542.25,bullish,7.0,gap_fill,560.0,4
2024-01-26 20:45:00+00:00,2024-01-26 20:50:00+00:00,17528.25,17524.0,bearish,1.125,gap_fill,90.0,1
2024-01-26 20:50:00+00:00,2024-01-26 20:55:00+00:00,17525.375,17529.75,bullish,1.8125,gap_fill,145.0,1
2024-01-26 20:55:00+00:00,2024-01-29 07:00:00+00:00,17525.25,17542.25,bullish,2.625,gap_fill,210.0,1
2024-01-29 07:00:00+00:00,2024-01-29 08:40:00+00:00,17535.5,17577.75,bearish,-21.125,time_exit,550.0,20
2024-01-29 07:05:00+00:00,2024-01-29 08:45:00+00:00,17537.75,17577.0,bearish,-19.625,time_exit,710.0,20
2024-01-29 07:10:00+00:00,2024-01-29 08:30:00+00:00,17547.75,17575.0,bearish,-13.5,stop_loss,270.0,16
2024-01-29 07:15:00+00:00,2024-01-29 07:55:00+00:00,17551.375,17557.25,bullish,2.0625,gap_fill,165.0,8
2024-01-29 07:20:00+00:00,2024-01-29 07:25:00+00:00,17549.125,17546.25,bearish,1.4375,gap_fill,115.0,1
2024-01-29 07:25:00+00:00,2024-01-29 07:40:00+00:00,17548.0,17552.0,bullish,2.5,gap_fill,200.0,3
2024-01-29 07:30:00+00:00,2024-01-29 07:40:00+00:00,17548.875,17552.0,bullish,1.5625,gap_fill,125.0,2
2024-01-29 07:35:00+00:00,2024-01-29 08:05:00+00:00,17546.375,17542.25,bearish,1.6875,gap_fill,135.0,6
2024-01-29 07:40:00+00:00,2024-01-29 08:05:00+00:00,17549.625,17542.25,bearish,1.9375,gap_fill,155.0,5
2024-01-29 07:45:00+00:00,2024-01-29 08:05:00+00:00,17549.25,17542.25,bearish,2.5,gap_fill,200.0,4
2024-01-29 07:55:00+00:00,2024-01-29 08:00:00+00:00,17553.125,17554.0,bearish,2.3125,gap_fill,185.0,1
2024-01-29 08:00:00+00:00,2024-01-29 08:05:00+00:00,17552.875,17542.25,bearish,2.9375,gap_fill,235.0,1
2024-01-29 08:05:00+00:00,2024-01-29 08:20:00+00:00,17549.625,17558.5,bullish,4.0625,gap_fill,325.0,3
2024-01-29 08:10:00+00:00,2024-01-29 08:20:00+00:00,17550.25,17558.5,bullish,4.25,gap_fill,340.0,2
2024-01-29 08:15:00+00:00,2024-01-29 08:30:00+00:00,17547.125,17575.0,bearish,-11.25,stop_loss,225.0,3
2024-01-29 08:20:00+00:00,2024-01-29 08:25:00+00:00,17551.75,17562.0,bullish,0.875,gap_fill,70.0,1
2024-01-29 08:25:00+00:00,2024-01-29 09:05:00+00:00,17555.125,17584.75,bearish,-17.25,stop_loss,345.0,8
2024-01-29 08:30:00+00:00,2024-01-29 09:20:00+00:00,17562.5,17548.0,bearish,6.25,gap_fill,500.0,10
2024-01-29 08:35:00+00:00,2024-01-29 09:20:00+00:00,17566.625,17548.0,bearish,6.1875,gap_fill,495.0,9
2024-01-29 08:40:00+00:00,2024-01-29 09:20:00+00:00,17570.75,17548.0,bearish,5.0,gap_fill,400.0,8
2024-01-29 08:45:00+00:00,2024-01-29 08:50:00+00:00,17577.875,17575.5,bullish,-2.25,stop_loss,45.0,1
2024-01-29 08:50:00+00:00,2024-01-29 08:55:00+00:00,17576.125,17583.75,bullish,2.3125,gap_fill,185.0,1
2024-01-29 08:55:00+00:00,2024-01-29 09:00:00+00:00,17579.25,17587.5,bullish,2.0,gap_fill,160.0,1
2024-01-29 09:00:00+00:00,2024-01-29 09:15:00+00:00,17579.625,17565.5,bearish,4.0625,gap_fill,325.0,3
2024-01-29 09:05:00+00:00,2024-01-29 09:10:00+00:00,17582.5,17574.0,bearish,3.625,gap_fill,290.0,1
2024-01-29 09:10:00+00:00,2024-01-29 09:20:00+00:00,17580.625,17548.0,bullish,-14.25,stop_loss,285.0,2
2024-01-29 09:15:00+00:00,2024-01-29 10:55:00+00:00,17577.375,17564.75,bullish,-6.3125,time_exit,495.0,20
2024-01-29 09:20:00+00:00,2024-01-29 11:00:00+00:00,17569.5,17558.0,bullish,-5.75,time_exit,860.0,20
2024-01-29 09:25:00+00:00,2024-01-29 11:05:00+00:00,17559.5,17562.25,bullish,1.375,time_exit,620.0,20
2024-01-29 09:30:00+00:00,2024-01-29 09:40:00+00:00,17553.75,17543.25,bearish,2.875,gap_fill,230.0,2
2024-01-29 09:35:00+00:00,2024-01-29 09:40:00+00:00,17552.75,17543.25,bearish,4.375,gap_fill,350.0,1
2024-01-29 09:40:00+00:00,2024-01-29 10:05:00+00:00,17549.875,17559.25,bullish,4.8125,gap_fill,385.0,5
2024-01-29 09:45:00+00:00,2024-01-29 10:10:00+00:00,17551.75,17556.25,bullish,4.875,gap_fill,390.0,5
2024-01-29 09:50:00+00:00,2024-01-29 11:30:00+00:00,17547.375,17564.0,bearish,-8.3125,time_exit,285.0,20
2024-01-29 09:55:00+00:00,2024-01-29 10:05:00+00:00,17547.375,17559.25,bullish,2.0625,gap_fill,165.0,2
2024-01-29 10:00:00+00:00,2024-01-29 10:05:00+00:00,17548.75,17559.25,bullish,2.875,gap_fill,230.0,1
2024-01-29 10:05:00+00:00,2024-01-29 11:45:00+00:00,17551.75,17569.75,bearish,-9.0,time_exit,340.0,20
2024-01-29 10:10:00+00:00,2024-01-29 11:50:00+00:00,17552.75,17567.0,bearish,-7.125,time_exit,390.0,20
2024-01-29 10:15:00+00:00,2024-01-29 10:20:00+00:00,17558.375,17558.25,bullish,0.9375,gap_fill,75.0,1
