timestamp,month,pnl_base,pnl_dep,cum_baseline,cum_deployed
1754400840000000000,2025-08,155.7,155.7,270.8999999999989,817.55
1754405460000000000,2025-08,-136.8,-136.8,134.0999999999989,680.75
1754417400000000000,2025-08,-16.8,-16.8,117.29999999999889,663.95
1754418900000000000,2025-08,-16.8,-16.8,100.49999999999889,647.1500000000001
1754419860000000000,2025-08,78.2,78.2,178.6999999999989,725.3500000000001
1754589960000000000,2025-08,-54.3,-54.3,124.39999999999891,671.0500000000002
1754591460000000000,2025-08,70.7,70.7,195.09999999999891,741.7500000000002
1754593140000000000,2025-08,70.7,70.7,265.79999999999893,812.4500000000003
1754676780000000000,2025-08,23.2,23.2,288.9999999999989,835.6500000000003
1754677800000000000,2025-08,-16.8,-16.8,272.1999999999989,818.8500000000004
1754679000000000000,2025-08,13.2,13.2,285.3999999999989,832.0500000000004
1754896680000000000,2025-08,3.2,3.2,288.5999999999989,835.2500000000005
1754897340000000000,2025-08,5.7,5.7,294.2999999999989,840.9500000000005
1754897820000000000,2025-08,8.2,8.2,302.49999999999886,849.1500000000005
1754898720000000000,2025-08,5.7,5.7,308.19999999999885,854.8500000000006
1754935620000000000,2025-08,38.2,38.2,346.39999999999884,893.0500000000006
1754938020000000000,2025-08,73.2,73.2,419.59999999999883,966.2500000000007
1754983080000000000,2025-08,-19.3,-19.3,400.2999999999988,946.9500000000007
1754983560000000000,2025-08,18.2,18.2,418.4999999999988,965.1500000000008
1754983800000000000,2025-08,-34.3,-34.3,384.1999999999988,930.8500000000008
1754985420000000000,2025-08,-21.8,-21.8,362.3999999999988,909.0500000000009
1755006960000000000,2025-08,-274.3,-274.3,88.09999999999877,634.7500000000009
1755023100000000000,2025-08,10.7,10.7,98.79999999999878,645.450000000001
1755024540000000000,2025-08,-16.8,-16.8,81.99999999999878,628.650000000001
1755069120000000000,2025-08,-6.8,-6.8,75.19999999999878,621.850000000001
1755070680000000000,2025-08,-19.3,-19.3,55.89999999999878,602.5500000000011
1755109080000000000,2025-08,-29.3,-29.3,26.599999999998783,573.2500000000011
1755111540000000000,2025-08,-22.05,-22.05,4.549999999998782,551.2000000000012
1755178140000000000,2025-08,-24.3,0.0,-19.75000000000122,551.2000000000012
1755183660000000000,2025-08,110.7,0.0,90.94999999999878,551.2000000000012
1755195600000000000,2025-08,20.7,20.7,111.64999999999878,571.9000000000012
1755198600000000000,2025-08,18.2,18.2,129.84999999999877,590.1000000000013
1755280920000000000,2025-08,-44.3,-44.3,85.54999999999878,545.8000000000013
1755282960000000000,2025-08,-51.8,-51.8,33.74999999999878,494.0000000000013
1755500460000000000,2025-08,15.7,15.7,49.44999999999878,509.7000000000013
1755503280000000000,2025-08,28.2,28.2,77.64999999999878,537.9000000000013
1755526140000000000,2025-08,-36.8,-36.8,40.849999999998786,501.10000000000133
1755540780000000000,2025-08,-9.3,-9.3,31.549999999998786,491.8000000000013
